Date,Description,Amount,Category,Type
2024-02-01,Salary Credit,45000.00,Salary,Income
2024-02-02,Rent Payment,15000.00,Housing,Expense
2024-02-03,Electricity Bill,2500.00,Utilities,Expense
2024-02-04,Water Bill,800.00,Utilities,Expense
2024-02-05,Gas Cylinder,950.00,Utilities,Expense
2024-02-06,Internet Bill,999.00,Utilities,Expense
2024-02-07,Grocery Shopping,1800.00,Food & Dining,Expense
2024-02-08,Medical Checkup,2000.00,Healthcare,Expense
2024-02-09,Insurance Premium,3000.00,Insurance,Expense
2024-02-10,Investment in Mutual Fund,10000.00,Investment,Expense
2024-02-11,Online Shopping - Clothes,3500.00,Shopping,Expense
2024-02-12,Restaurant Lunch,450.00,Food & Dining,Expense
2024-02-13,Cab to Airport,600.00,Transportation,Expense
2024-02-14,Valentine's Day Gift,1200.00,Shopping,Expense
2024-02-15,ATM Withdrawal,3000.00,Cash,Expense

